Buikwe 212,827	209,944	214,149	208,622	410,659	12,112	422,771
Amudat	56,403	49,364	93,982	11,785	96,601	9,166	105,767
Amuru	91,468	95,228	177,395	9,301	184,976	1,720	186,696
Apac	182,017	186,609	346,032	22,594	365,632	2,994	368,626
Arua	376,953	405,124	720,131	61,946	775,080	6,997	782,077
Dokolo	89,943	93,150	162,974	20,119	181,885	1,208	183,093
Gulu	215,906	220,439	286,545	149,800	425,094	11,251	436,345
Kaabong	79,379	88,500	156,319	11,560	165,859	2,020	167,879
Kitgum	99,604	104,444	128,455	75,593	202,625	1,423	204,048
Koboko	102,529	103,966	148,585	57,910	204,969	1,526	206,495
Kole	117,798	121,529	230,479	8,848	238,059	1,268	239,327
Kotido	89,163	91,887	167,198	13,852	168,907	12,143	181,050
Lamwo	65,196	69,183	112,637	21,742	134,077	302	134,379
Lira	199,245	208,798	306,770	101,273	400,462	7,581	408,043
Maracha	88,228	97,906	176,834	9,300	185,468	666	186,134
Moroto	51,452	51,980	89,219	14,213	97,431	6,001	103,432
Moyo	69,392	69,620	128,432	10,580	137,594	1,418	139,012
Nakapiripirit	78,030	78,660	152,961	3,729	147,439	9,251	156,690
Napak	65,991	76,233	137,499	4,725	141,216	1,008	142,224
Nebbi	192,974	203,820	338,665	58,129	392,764	4,030	396,794
Nwoya	66,227	67,279	119,913	13,593	132,026	1,480	133,506
Otuke	51,315	52,939	98,041	6,213	103,806	448	104,254
Oyam	187,886	195,758	365,209	18,435	381,563	2,081	383,644
Pader	86,838	91,166	164,602	13,402	176,647	1,357	178,004
Yumbe	233,159	251,663	449,819	35,003	478,407	6,415	484,822
Zombo	116,198	123,884	195,497	44,585	238,968	1,114	240,082
Buhweju	59,245	61,475	117,768	2,952	120,209	511	120,720
Buliisa	57,822	55,339	105,923	7,238	108,038	5,123	113,161
Bundibugyo	108,766	115,621	188,726	35,661	223,055	1,332	224,387
Bushenyi	116,410	118,030	186,655	47,785	228,974	5,466	234,440
Hoima	290,413	282,573	467,021	105,965	564,468	8,518	572,986
Ibanda	122,796	126,829	184,860	64,765	244,692	4,933	249,625
Isingiro	236,619	249,741	430,982	55,378	483,362	2,998	486,360
Kabale	254,414	273,817	452,093	76,138	517,476	10,755	528,231
Kabarole	234,816	234,420	347,082	122,154	463,744	5,492	469,236
Kamwenge	203,164	211,290	391,546	22,908	412,021	2,433	414,454
Kanungu	121,873	130,271	201,006	51,138	250,224	1,920	252,144
Kasese	339,455	355,537	574,011	120,981	688,770	6,222	694,992
Kibaale	391,185	393,903	723,308	61,780	780,403	4,685	785,088
Kiruhura	166,935	161,142	296,822	31,255	325,325	2,752	328,077
Kiryandongo	133,701	132,496	210,594	55,603	263,597	2,600	266,197
Kisoro	126,643	155,062	256,251	25,454	280,304	1,401	281,705
Kyegegwa	141,043	140,594	255,337	26,300	280,703	934	281,637
Kyenjojo	210,900	211,304	357,391	64,813	421,387	817	422,204
Masindi	150,522	140,591	196,675	94,438	281,753	9,360	291,113
Mbarara	233,492	239,137	277,471	195,158	460,748	11,881	472,629
Mitooma	86,771	96,673	172,048	11,396	182,867	577	183,444
Ntoroko	34,174	32,831	43,216	23,789	66,267	738	67,005
Ntungamo	234,822	249,019	423,211	60,630	478,726	5,115	483,841
Rubirizi	62,135	67,014	111,912	17,237	128,062	1,087	129,149
Rukungiri	152,070	162,624	271,088	43,606	310,454	4,240	314,694
Sheema	101,032	106,311	159,963	47,380	203,278	4,065	207,343
